colour.in.videos,tile.number,Treatment,Crevice.kind,Location,Unique.location,number.LOB.before,number.otherMA.before,number.unknown.before,number.Lob.after,number.otherMA.after,number.unknown.after,number.LOB.removed,number.otherMA.removed,number.unknown.removed
blank,74,accessible,large,i1,74.i1,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i2,74.i2,1,0,1,1,0,1,0,0,0
blank,74,accessible,large,i3,74.i3,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i4,74.i4,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i5,74.i5,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i6,74.i6,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i7,74.i7,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i8,74.i8,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,i9,74.i9,0,0,0,0,0,0,0,0,0
black,80,accessible,large,a1,80.a1,0,0,0,0,0,0,0,0,0
black,80,accessible,large,a2,80.a2,0,0,0,0,0,0,0,0,0
black,80,accessible,large,a3,80.a3,0,1,0,0,1,0,0,0,0
black,80,accessible,large,a4,80.a4,2,0,0,2,0,0,0,0,0
black,80,accessible,large,a5,80.a5,1,0,0,1,0,0,0,0,0
black,80,accessible,large,a6,80.a6,0,0,0,0,0,0,0,0,0
black,80,accessible,large,a7,80.a7,0,1,0,0,1,0,0,0,0
black,80,accessible,large,a8,80.a8,2,1,0,2,1,0,0,0,0
black,80,accessible,large,a9,80.a9,0,1,0,0,1,0,0,0,0
black,80,accessible,large,b1,80.b1,0,1,0,0,1,0,0,0,0
black,80,accessible,large,b2,80.b2,1,4,0,1,3,0,0,1,0
black,80,accessible,large,b3,80.b3,1,3,1,1,3,1,0,0,0
black,80,accessible,large,b4,80.b4,0,3,0,0,3,0,0,0,0
black,80,accessible,large,b5,80.b5,0,0,0,0,0,0,0,0,0
black,80,accessible,large,b6,80.b6,1,5,0,1,5,0,0,0,0
black,80,accessible,large,b7,80.b7,0,3,0,0,3,0,0,0,0
black,80,accessible,large,b8,80.b8,0,1,0,0,1,0,0,0,0
black,80,accessible,large,b9,80.b9,0,0,0,0,0,0,0,0,0
black,80,accessible,large,c1,80.c1,0,0,0,0,0,0,0,0,0
black,80,accessible,large,c2,80.c2,2,2,0,2,2,0,0,0,0
black,80,accessible,large,c3,80.c3,1,0,1,1,0,1,0,0,0
black,80,accessible,large,c4,80.c4,0,2,0,0,2,0,0,0,0
black,80,accessible,large,c5,80.c5,2,3,0,2,3,0,0,0,0
black,80,accessible,large,c6,80.c6,0,1,0,0,1,0,0,0,0
black,80,accessible,large,c7,80.c7,0,4,0,0,3,0,0,1,0
black,80,accessible,large,c8,80.c8,1,1,0,1,1,0,0,0,0
black,80,accessible,large,c9,80.c9,0,0,0,0,0,0,0,0,0
black,80,accessible,large,d1,80.d1,0,1,0,0,1,0,0,0,0
black,80,accessible,large,d2,80.d2,0,9,0,0,9,0,0,0,0
black,80,accessible,large,d3,80.d3,0,0,0,0,0,0,0,0,0
black,80,accessible,large,d4,80.d4,1,2,0,1,2,0,0,0,0
black,80,accessible,large,d5,80.d5,0,3,0,0,3,0,0,0,0
black,80,accessible,large,d6,80.d6,0,3,0,0,3,0,0,0,0
black,80,accessible,large,d7,80.d7,0,0,0,0,0,0,0,0,0
black,80,accessible,large,d8,80.d8,0,4,0,0,4,0,0,0,0
black,80,accessible,large,d9,80.d9,0,0,0,0,0,0,0,0,0
black,80,accessible,large,e1,80.e1,0,1,0,0,1,0,0,0,0
black,80,accessible,large,e2,80.e2,2,0,1,2,0,1,0,0,0
black,80,accessible,large,e3,80.e3,0,2,0,0,2,0,0,0,0
black,80,accessible,large,e4,80.e4,1,5,0,1,5,0,0,0,0
black,80,accessible,large,e5,80.e5,0,3,0,0,3,0,0,0,0
black,80,accessible,large,e6,80.e6,0,0,0,0,0,0,0,0,0
