"","Unique.location","Species","Bites","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed"
"207","44.c6","Chlorurus sordidus",0,"red",44,"accessible","medium","c6",0,0,0,0,0,0,0,0,0
"208","44.c8","Chlorurus sordidus",0,"red",44,"accessible","medium","c8",0,1,0,0,1,0,0,0,0
"209","44.d3","Chlorurus sordidus",0,"red",44,"accessible","medium","d3",0,0,0,0,0,0,0,0,0
"210","44.d5","Chlorurus sordidus",0,"red",44,"accessible","medium","d5",0,1,0,0,1,0,0,0,0
"211","44.d9","Chlorurus sordidus",0,"red",44,"accessible","medium","d9",1,1,0,0,1,0,1,0,0
"212","44.e4","Chlorurus sordidus",0,"red",44,"accessible","medium","e4",2,1,0,2,1,0,0,0,0
"213","44.e6","Chlorurus sordidus",0,"red",44,"accessible","medium","e6",1,0,0,1,0,0,0,0,0
"214","44.f1","Chlorurus sordidus",0,"red",44,"accessible","medium","f1",0,0,0,0,0,0,0,0,0
"215","44.f3","Chlorurus sordidus",0,"red",44,"accessible","medium","f3",1,2,0,1,2,0,0,0,0
"216","44.g1","Chlorurus sordidus",0,"red",44,"accessible","medium","g1",0,1,0,0,1,0,0,0,0
"217","44.g2","Chlorurus sordidus",0,"red",44,"accessible","medium","g2",0,1,0,0,1,0,0,0,0
"218","44.g9","Chlorurus sordidus",0,"red",44,"accessible","medium","g9",0,0,0,0,0,0,0,0,0
"219","44.h1","Chlorurus sordidus",0,"red",44,"accessible","medium","h1",0,0,0,0,0,0,0,0,0
"220","44.h7","Chlorurus sordidus",0,"red",44,"accessible","medium","h7",0,0,0,0,0,0,0,0,0
"221","44.i2","Chlorurus sordidus",0,"red",44,"accessible","medium","i2",0,0,0,0,0,0,0,0,0
"222","6.c7","Chlorurus sordidus",1,"black",6,"accessible","small","c7",0,1,0,0,1,0,0,0,0
"223","6.d8","Chlorurus sordidus",0,"black",6,"accessible","small","d8",0,2,0,0,2,0,0,0,0
"224","6.e7","Chlorurus sordidus",0,"black",6,"accessible","small","e7",1,0,0,1,0,0,0,0,0
"225","6.f6","Chlorurus sordidus",1,"black",6,"accessible","small","f6",4,6,0,4,6,0,0,0,0
"226","6.h3","Chlorurus sordidus",0,"black",6,"accessible","small","h3",3,1,0,3,1,0,0,0,0
"227","6.h6","Chlorurus sordidus",1,"black",6,"accessible","small","h6",3,3,0,3,3,0,0,0,0
"228","6.h8","Chlorurus sordidus",0,"black",6,"accessible","small","h8",8,0,0,8,0,0,0,0,0
"229","71.a2","Chlorurus sordidus",0,"red",71,"accessible","large","a2",0,2,0,0,2,0,0,0,0
"230","71.a6","Chlorurus sordidus",0,"red",71,"accessible","large","a6",1,0,0,0,0,0,1,0,0
"231","71.a7","Chlorurus sordidus",0,"red",71,"accessible","large","a7",0,0,0,0,0,0,0,0,0
"232","71.a9","Chlorurus sordidus",0,"red",71,"accessible","large","a9",0,0,0,0,0,0,0,0,0
"233","71.b5","Chlorurus sordidus",0,"red",71,"accessible","large","b5",1,8,0,1,8,0,0,0,0
