"","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed","Species","sumbites"
"216","red","71","accessible","large","d4",2,4,0,2,2,0,0,2,0,"Ctenochaetus striatus",8
"217","red","71","accessible","large","d5",2,2,1,2,2,1,0,0,0,"Ctenochaetus striatus",1
"218","red","71","accessible","large","d6",1,2,0,1,2,0,0,0,0,"Ctenochaetus striatus",4
"219","red","71","accessible","large","d6",1,2,0,1,2,0,0,0,0,"Zebrasoma scopas",1
"220","red","71","accessible","large","d7",1,0,0,1,0,0,0,0,0,"Acanthurus nigrofuscus",1
"221","red","71","accessible","large","d7",1,0,0,1,0,0,0,0,0,"Ctenochaetus striatus",4
"222","red","71","accessible","large","d8",0,2,0,0,2,0,0,0,0,"Acanthurus nigrofuscus",5
"223","red","71","accessible","large","d8",0,2,0,0,2,0,0,0,0,"Ctenochaetus striatus",2
"224","red","71","accessible","large","d8",0,2,0,0,2,0,0,0,0,"Zebrasoma scopas",7
"225","red","71","accessible","large","d9",1,1,0,1,1,0,0,0,0,"Acanthurus nigrofuscus",4
"226","red","71","accessible","large","d9",1,1,0,1,1,0,0,0,0,"Ctenochaetus striatus",1
"227","red","71","accessible","large","e1",2,1,0,2,1,0,0,0,0,"Ctenochaetus striatus",2
"228","red","71","accessible","large","e2",4,1,0,4,1,0,0,0,0,"Ctenochaetus striatus",2
"229","red","71","accessible","large","e3",7,5,0,7,5,0,0,0,0,"Acanthurus nigrofuscus",4
"230","red","71","accessible","large","e3",7,5,0,7,5,0,0,0,0,"Ctenochaetus striatus",4
"231","red","71","accessible","large","e4",1,5,0,1,4,0,0,1,0,"Acanthurus nigrofuscus",1
"232","red","71","accessible","large","e4",1,5,0,1,4,0,0,1,0,"Ctenochaetus striatus",4
"233","red","71","accessible","large","e5",2,1,0,1,1,0,1,0,0,NA,NA
"234","red","71","accessible","large","e6",2,1,0,2,1,0,0,0,0,"Acanthurus nigrofuscus",1
"235","red","71","accessible","large","e6",2,1,0,2,1,0,0,0,0,"Ctenochaetus striatus",1
"236","red","71","accessible","large","e7",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",2
"237","red","71","accessible","large","e7",0,1,0,0,1,0,0,0,0,"Ctenochaetus striatus",1
"238","red","71","accessible","large","e8",2,11,0,2,8,0,0,3,0,"Acanthurus nigrofuscus",2
"239","red","71","accessible","large","e8",2,11,0,2,8,0,0,3,0,"Ctenochaetus striatus",4
"240","red","71","accessible","large","e8",2,11,0,2,8,0,0,3,0,"Zebrasoma scopas",3
"241","red","71","accessible","large","e9",0,0,0,0,0,0,0,0,0,"Ctenochaetus striatus",1
"242","red","71","accessible","large","f1",1,2,0,1,2,0,0,0,0,"Ctenochaetus striatus",2
"243","red","71","accessible","large","f2",2,7,0,1,7,0,1,0,0,"Ctenochaetus striatus",7
"244","red","71","accessible","large","f2",2,7,0,1,7,0,1,0,0,"Pomacentrus bankanensis",1
"245","red","71","accessible","large","f2",2,7,0,1,7,0,1,0,0,"Zebrasoma scopas",1
"246","red","71","accessible","large","f3",2,1,0,2,1,0,0,0,0,NA,NA
"247","red","71","accessible","large","f4",2,4,0,2,4,0,0,0,0,"Ctenochaetus striatus",7
"248","red","71","accessible","large","f4",2,4,0,2,4,0,0,0,0,"Zebrasoma scopas",1
"249","red","71","accessible","large","f5",0,0,1,0,0,1,0,0,0,"Acanthurus nigrofuscus",2
"250","red","71","accessible","large","f5",0,0,1,0,0,1,0,0,0,"Ctenochaetus striatus",1
"251","red","71","accessible","large","f6",0,3,0,0,3,0,0,0,0,"Acanthurus nigrofuscus",3
"252","red","71","accessible","large","f6",0,3,0,0,3,0,0,0,0,"Ctenochaetus striatus",5
"253","red","71","accessible","large","f6",0,3,0,0,3,0,0,0,0,"Zebrasoma scopas",3
"254","red","71","accessible","large","f7",0,5,0,0,5,0,0,0,0,"Acanthurus nigrofuscus",1
"255","red","71","accessible","large","f7",0,5,0,0,5,0,0,0,0,"Ctenochaetus striatus",4
"256","red","71","accessible","large","f7",0,5,0,0,5,0,0,0,0,"Zebrasoma scopas",4
"257","red","71","accessible","large","f8",3,3,0,2,1,0,1,2,0,"Acanthurus nigrofuscus",6
"258","red","71","accessible","large","f8",3,3,0,2,1,0,1,2,0,"Ctenochaetus striatus",5
"259","red","71","accessible","large","f8",3,3,0,2,1,0,1,2,0,"Zebrasoma scopas",10
"260","red","71","accessible","large","f9",0,2,0,0,2,0,0,0,0,"Ctenochaetus striatus",2
"261","red","71","accessible","large","g1",1,0,1,1,0,1,0,0,0,"Ctenochaetus striatus",2
"262","red","71","accessible","large","g2",2,2,0,2,2,0,0,0,0,"Ctenochaetus striatus",3
"263","red","71","accessible","large","g3",3,3,0,3,3,0,0,0,0,"Ctenochaetus striatus",6
"264","red","71","accessible","large","g3",3,3,0,3,3,0,0,0,0,"Zebrasoma scopas",3
"265","red","71","accessible","large","g4",4,3,3,4,3,3,0,0,0,"Ctenochaetus striatus",1
"266","red","71","accessible","large","g5",9,10,0,9,9,0,0,1,0,"Acanthurus nigrofuscus",7
"267","red","71","accessible","large","g5",9,10,0,9,9,0,0,1,0,"Ctenochaetus striatus",5
"268","red","71","accessible","large","g6",9,0,0,9,0,0,0,0,0,NA,NA
"269","red","71","accessible","large","g7",0,3,0,0,3,0,0,0,0,"Acanthurus nigrofuscus",5
"270","red","71","accessible","large","g7",0,3,0,0,3,0,0,0,0,"Ctenochaetus striatus",9
"271","red","71","accessible","large","g7",0,3,0,0,3,0,0,0,0,"Zebrasoma scopas",3
"272","red","71","accessible","large","g8",2,2,0,2,2,0,0,0,0,"Zebrasoma scopas",1
"273","red","71","accessible","large","g9",0,3,0,0,3,0,0,0,0,"Acanthurus nigrofuscus",1
"274","red","71","accessible","large","g9",0,3,0,0,3,0,0,0,0,"Ctenochaetus striatus",1
"275","red","71","accessible","large","h1",1,0,1,1,0,1,0,0,0,NA,NA
"276","red","71","accessible","large","h2",7,1,0,4,1,0,3,0,0,"Acanthurus nigrofuscus",2
"277","red","71","accessible","large","h2",7,1,0,4,1,0,3,0,0,"Ctenochaetus striatus",11
